theme,label,leading_words,corpus_share,class_001,class_002,class_003,class_004,class_005,class_006,class_007,class_008,class_009,class_010,class_011,class_012,class_013,class_014,class_015,class_016,class_017,class_018,class_019,class_020,class_021,class_022,class_023,class_024,class_025,class_026,class_027,class_028,class_029,class_030,class_031,class_032,class_033,class_034,class_035,class_036,class_037,class_038,class_039,class_040,class_041,class_042,class_043,class_044,class_045
10,"Cleaning preparations and coatings","cleaning coatings preparations nature paints coating surfaces paint",0.01014,0.07517,0.39073,0.06214,0.02777,0.01901,0.00983,0.02051,0.01087,0.00291,0.00634,0.00688,0.00553,0.01453,0.00422,0.00428,0.00593,0.06331,0.00267,0.03359,0.00566,0.02762,0.01056,0.00762,0.00808,0.00282,0.00383,0.02207,0.00354,0.00431,0.00445,0.00483,0.00427,0.00634,0.00413,0.00282,0.00274,0.03461,0.00105,0.00362,0.02205,0.00192,0.00247,0.00275,0.00250,0.00223
11,"Components sold as a unit (drafting formula)","sold unit sold unit component skills integral bottles developing",0.00735,0.00740,0.00641,0.00525,0.00561,0.00717,0.00694,0.00768,0.00546,0.00852,0.01080,0.00851,0.00716,0.01340,0.00614,0.00724,0.00885,0.00648,0.00486,0.00841,0.01632,0.01114,0.00860,0.01096,0.00579,0.00455,0.00455,0.00837,0.01168,0.00455,0.00569,0.00622,0.00486,0.00654,0.00620,0.00763,0.00513,0.00364,0.00337,0.00418,0.00787,0.00685,0.00620,0.00929,0.01393,0.01283
12,"Retail store services","services featuring store retail store services services featuring retail store advertising",0.03849,0.00505,0.00607,0.00707,0.01348,0.00618,0.00679,0.00515,0.00636,0.01027,0.00651,0.00591,0.00847,0.01024,0.02223,0.00851,0.01829,0.00500,0.01385,0.00790,0.01491,0.00968,0.00855,0.01032,0.01066,0.01330,0.01141,0.01182,0.00680,0.01287,0.01594,0.01286,0.01112,0.01179,0.01393,0.22602,0.02460,0.03374,0.02012,0.03853,0.04589,0.02354,0.03662,0.08355,0.04279,0.03698
13,"Research, scientific and diagnostic","research medical scientific testing purposes diagnostic analysis laboratory",0.01407,0.10390,0.00483,0.00306,0.00470,0.03960,0.00305,0.00557,0.00281,0.01958,0.07806,0.00550,0.00347,0.00526,0.00387,0.00366,0.00905,0.00477,0.00180,0.00292,0.00380,0.00284,0.00311,0.00416,0.00188,0.00250,0.00197,0.00332,0.00285,0.00350,0.00383,0.00720,0.00410,0.00595,0.00384,0.00826,0.00530,0.00712,0.00441,0.00596,0.01814,0.00815,0.03969,0.00298,0.04993,0.01113
14,"Clothing, bags and footwear","bags clothing shirts jackets leather cases pants shoes",0.08681,0.00673,0.00815,0.02271,0.01942,0.00733,0.02320,0.00474,0.01973,0.03118,0.02455,0.00823,0.02462,0.03367,0.18232,0.02807,0.04343,0.01198,0.62631,0.00626,0.04936,0.05945,0.14009,0.14609,0.31568,0.72877,0.14998,0.05621,0.06140,0.00695,0.00910,0.00679,0.02168,0.01294,0.02167,0.02892,0.00469,0.00642,0.00568,0.00932,0.03558,0.01834,0.00715,0.01426,0.00713,0.01115
15,"Building and construction materials","building construction materials concrete stone tiles cement building materials",0.00519,0.01632,0.02743,0.00322,0.00484,0.00330,0.01696,0.00803,0.00572,0.00279,0.00357,0.00455,0.00421,0.00586,0.00453,0.00423,0.00325,0.03233,0.00197,0.15959,0.00663,0.00429,0.00837,0.00507,0.00305,0.00242,0.00289,0.01133,0.00479,0.00297,0.00364,0.00418,0.00390,0.00625,0.00402,0.00288,0.00265,0.01562,0.00133,0.00368,0.00819,0.00274,0.00281,0.00289,0.00249,0.00237
16,"Nutritional supplements","food supplements nutritional dietary beverages drinks purposes nutritional supplements",0.01948,0.03867,0.00807,0.01401,0.00620,0.32100,0.00272,0.00389,0.00323,0.00273,0.00553,0.00403,0.00287,0.00497,0.00532,0.00337,0.00725,0.00321,0.00268,0.00318,0.00439,0.00850,0.00414,0.00584,0.00249,0.00312,0.00258,0.00330,0.00315,0.03524,0.03291,0.02622,0.05246,0.00752,0.00908,0.00695,0.00227,0.00214,0.00185,0.00544,0.00927,0.00488,0.00489,0.02409,0.02202,0.00386
17,"Toys, games and sporting goods","toys games toy golf balls equipment sports exercise",0.02843,0.00423,0.00655,0.00509,0.00963,0.00393,0.01093,0.00522,0.01578,0.01038,0.01232,0.00686,0.02800,0.01306,0.01766,0.01387,0.02289,0.00675,0.03085,0.00812,0.02542,0.05966,0.02743,0.00895,0.02657,0.02153,0.01983,0.03551,0.50350,0.01059,0.01098,0.01129,0.01274,0.03303,0.01071,0.00944,0.00326,0.00618,0.00453,0.00796,0.00659,0.02004,0.00460,0.01642,0.00422,0.00473
18,"Media and entertainment goods","video computer electronic music games audio entertainment television",0.06790,0.00544,0.00855,0.00561,0.00698,0.00386,0.01059,0.00801,0.00733,0.23204,0.01293,0.01213,0.01049,0.01122,0.02400,0.08214,0.05860,0.00776,0.02061,0.00483,0.01476,0.01274,0.01220,0.00539,0.01199,0.02050,0.01718,0.00947,0.07916,0.00443,0.00528,0.00503,0.00679,0.00728,0.00767,0.03175,0.00956,0.01906,0.19703,0.01692,0.02469,0.23981,0.03508,0.01211,0.00948,0.03325
19,"Oil, gas and metals","oil gas oil gas drilling alloys metals nuclear exploration",0.00442,0.01839,0.00730,0.00311,0.01797,0.00387,0.02230,0.01717,0.00357,0.00346,0.00444,0.00585,0.00405,0.00918,0.00848,0.00350,0.00317,0.00647,0.00169,0.00558,0.00379,0.00262,0.00347,0.00444,0.00182,0.00238,0.00193,0.00281,0.00262,0.00913,0.00421,0.00365,0.00394,0.00606,0.00449,0.00274,0.00286,0.01450,0.00157,0.00549,0.01848,0.00199,0.00499,0.00288,0.00225,0.00251
20,"Pets and animal feed","pet pets animals animal food feed dog dogs",0.00880,0.00786,0.00329,0.00909,0.00494,0.02094,0.00691,0.00519,0.00712,0.00249,0.00481,0.00326,0.00424,0.00616,0.00573,0.00338,0.00552,0.00269,0.04960,0.00560,0.02412,0.02723,0.00866,0.00432,0.00656,0.00354,0.00374,0.01255,0.01883,0.00635,0.00571,0.25013,0.00445,0.00609,0.00388,0.00417,0.00242,0.00276,0.00134,0.00389,0.00370,0.00379,0.00284,0.00690,0.01532,0.00713
21,"Bicycles, vehicle rental and tobacco (mixed)","bicycles bicycle rental vehicles electronic cigarette cars cigar tobacco",0.00633,0.00360,0.00333,0.00253,0.00557,0.00272,0.00516,0.00353,0.00486,0.00386,0.00379,0.00811,0.10466,0.01234,0.00495,0.01677,0.00300,0.00411,0.00589,0.00350,0.00498,0.00330,0.00679,0.00522,0.00307,0.00346,0.00387,0.00355,0.00720,0.00370,0.00471,0.00361,0.00415,0.00612,0.28370,0.00288,0.00204,0.00356,0.00176,0.01009,0.00422,0.00325,0.00225,0.00455,0.00279,0.00577
22,"Art, home and interior decoration","art home interior decorative kits arts paint design",0.00713,0.00648,0.08622,0.00485,0.00653,0.00410,0.00847,0.00483,0.00784,0.00365,0.00435,0.00520,0.00730,0.00580,0.00774,0.00459,0.01886,0.01541,0.00337,0.02113,0.01664,0.00701,0.00988,0.01386,0.01941,0.00476,0.01307,0.03319,0.00986,0.00370,0.00428,0.00450,0.00629,0.00633,0.00413,0.00709,0.00368,0.01198,0.00204,0.00371,0.01100,0.00625,0.00906,0.00454,0.00346,0.00430
23,"Musical and surgical instruments","instruments musical apparatus devices artificial surgical apparatus instruments physical",0.00923,0.00539,0.00381,0.00364,0.00467,0.00846,0.00477,0.00480,0.00630,0.00895,0.15756,0.00506,0.00809,0.00768,0.00996,0.38905,0.00607,0.00488,0.00372,0.00434,0.00844,0.00469,0.00487,0.00520,0.00345,0.00447,0.01359,0.00818,0.01518,0.00325,0.00390,0.00370,0.00399,0.00601,0.00454,0.00348,0.00360,0.00434,0.00263,0.00326,0.00699,0.00615,0.00482,0.00373,0.01733,0.00561
24,"Hair and skin care","hair preparations cosmetic skin care body creams lotions",0.03119,0.01909,0.00790,0.60118,0.06798,0.05558,0.00365,0.00350,0.08526,0.00402,0.02173,0.01512,0.00331,0.00604,0.01627,0.00425,0.00743,0.00324,0.01957,0.00291,0.00993,0.05828,0.00895,0.00734,0.01476,0.00817,0.26852,0.00842,0.00492,0.00673,0.00871,0.00762,0.00857,0.00674,0.00938,0.00882,0.00204,0.00273,0.00154,0.00274,0.00579,0.00444,0.00466,0.00479,0.08128,0.00354
25,"Essential oils and candles","oils essential candles essential oils room cosmetics scented wax",0.00691,0.01187,0.00659,0.07869,0.20092,0.01610,0.00204,0.00220,0.00409,0.00201,0.00361,0.01261,0.00254,0.00635,0.00568,0.00376,0.00299,0.00242,0.00370,0.00267,0.00467,0.00635,0.00293,0.00410,0.00371,0.00300,0.00342,0.00405,0.00332,0.00698,0.00812,0.00650,0.00480,0.00656,0.01262,0.00255,0.00148,0.00185,0.00105,0.00185,0.00366,0.00161,0.00148,0.00341,0.00349,0.00195
26,"Automotive vehicles and lubricants","vehicle vehicles motor automotive automobile lubricants oils automobiles",0.00642,0.02180,0.01654,0.00530,0.16034,0.00401,0.00461,0.01200,0.00424,0.00419,0.00266,0.00583,0.06059,0.00729,0.00387,0.00337,0.00403,0.00962,0.00224,0.00360,0.00393,0.00308,0.00685,0.00445,0.00295,0.00308,0.00230,0.00799,0.00558,0.00288,0.00336,0.00378,0.00385,0.00589,0.00375,0.00602,0.00594,0.02249,0.00227,0.01701,0.00742,0.00365,0.00411,0.00300,0.00188,0.00317
27,"Precious metal and household glassware","metal precious household precious metal brushes boxes glass kitchen",0.02314,0.00479,0.00943,0.01034,0.02753,0.00397,0.04169,0.01867,0.11297,0.00519,0.00727,0.04356,0.00677,0.00960,0.44212,0.16825,0.01419,0.00913,0.02687,0.01979,0.07936,0.32187,0.02684,0.03422,0.05864,0.00995,0.16874,0.07928,0.01180,0.00699,0.00958,0.00731,0.00811,0.01278,0.04079,0.00818,0.00301,0.00489,0.00262,0.00411,0.01197,0.00346,0.00313,0.00879,0.00294,0.00377
28,"Energy, transport and storage services","energy services transportation storage transport power gas delivery",0.01266,0.01274,0.00558,0.00265,0.07832,0.00308,0.01242,0.02362,0.00297,0.00829,0.00394,0.01287,0.01635,0.00643,0.00398,0.00470,0.00477,0.00829,0.00237,0.00625,0.00594,0.00289,0.00871,0.00521,0.00240,0.00271,0.00230,0.00348,0.00281,0.00372,0.00428,0.00505,0.00984,0.00637,0.00433,0.01809,0.01884,0.05171,0.00663,0.24062,0.05400,0.00467,0.01465,0.01045,0.00427,0.00763
29,"Marketing of consumer goods","products marketing goods consumer variety wide related marketing services",0.00940,0.00776,0.00627,0.00422,0.00589,0.00541,0.00486,0.00417,0.00356,0.00596,0.00493,0.00460,0.00436,0.00778,0.01125,0.00463,0.00927,0.00629,0.00321,0.00794,0.00647,0.00379,0.00642,0.00649,0.00453,0.00385,0.00359,0.00461,0.00449,0.00676,0.01218,0.00552,0.00456,0.00646,0.01020,0.03196,0.01890,0.00531,0.00713,0.00718,0.00938,0.00697,0.01099,0.00457,0.00438,0.00767
30,"Electronic cigarettes and tobacco","cigarettes electronic cigarette tobacco hemp electronic cigarettes liquid smoking",0.00548,0.01174,0.00407,0.00662,0.00665,0.00707,0.00397,0.00496,0.00295,0.00281,0.00472,0.01158,0.00278,0.00514,0.00415,0.00420,0.00286,0.00353,0.00236,0.00864,0.00351,0.00330,0.01116,0.00452,0.00237,0.00297,0.00205,0.00294,0.00378,0.00567,0.00983,0.00796,0.00621,0.00656,0.34960,0.00346,0.00196,0.00401,0.00113,0.00252,0.00333,0.00249,0.00185,0.00329,0.00446,0.00205
31,"Industrial chemicals","chemical industry industrial chemicals purposes manufacture preparations industrial purposes",0.00632,0.16577,0.02755,0.00641,0.04071,0.01008,0.00655,0.00915,0.00312,0.00351,0.00420,0.00650,0.00324,0.00710,0.00442,0.00329,0.00394,0.01928,0.00171,0.00828,0.00379,0.00296,0.00610,0.00881,0.00322,0.00231,0.00206,0.00415,0.00236,0.00485,0.00570,0.01006,0.00486,0.00660,0.00476,0.00342,0.00236,0.00424,0.00135,0.00367,0.01632,0.00215,0.00410,0.00276,0.00293,0.00348
32,"Plastics, textiles and packaging materials","plastic materials textile fabrics rubber synthetic packaging manufacture",0.01021,0.06475,0.03915,0.00418,0.01333,0.00533,0.02760,0.01970,0.00908,0.00405,0.01096,0.00817,0.00868,0.00753,0.00675,0.00525,0.01803,0.35998,0.00564,0.05786,0.03503,0.01792,0.15537,0.19831,0.06569,0.00417,0.01783,0.04390,0.00489,0.00365,0.00450,0.00567,0.00432,0.00601,0.00555,0.00283,0.00184,0.00689,0.00127,0.00808,0.03074,0.00158,0.00402,0.00271,0.00332,0.00211
33,"Paper, books and stationery","paper books printed cards stationery cardboard writing pens",0.03313,0.00723,0.02082,0.00682,0.01346,0.00441,0.02640,0.00688,0.01758,0.02041,0.00613,0.00678,0.00832,0.00774,0.03883,0.01513,0.36262,0.01794,0.03250,0.00850,0.04407,0.03965,0.02233,0.01769,0.03865,0.02209,0.07300,0.02565,0.03516,0.00539,0.00864,0.00702,0.00808,0.00775,0.01186,0.01948,0.00825,0.00521,0.01482,0.01298,0.02992,0.03175,0.01234,0.00913,0.00774,0.01954
34,"Furniture and lighting","furniture storage lighting lights covers bed plastic racks",0.02165,0.00566,0.00920,0.00686,0.03245,0.00388,0.05792,0.00999,0.02705,0.00774,0.01312,0.20475,0.02350,0.17450,0.01093,0.01077,0.01524,0.02135,0.01671,0.03241,0.35709,0.08458,0.13748,0.01316,0.25565,0.00583,0.03525,0.11689,0.01591,0.00441,0.00508,0.01899,0.00477,0.00618,0.00781,0.00955,0.00200,0.01065,0.00154,0.00896,0.01383,0.00323,0.00418,0.00662,0.00359,0.00379
35,"Education, training, travel and events","services field training estate educational travel events conducting",0.07709,0.00392,0.00469,0.00433,0.00669,0.00516,0.00646,0.00332,0.00496,0.02552,0.00660,0.00369,0.00991,0.00980,0.01202,0.00932,0.09765,0.00325,0.01166,0.00603,0.00978,0.01190,0.00845,0.00645,0.00840,0.02339,0.01211,0.00905,0.01710,0.00753,0.01137,0.00866,0.01215,0.01150,0.00679,0.09110,0.18257,0.07305,0.03706,0.19459,0.01469,0.31721,0.07108,0.46501,0.06238,0.18139
36,"Legal services, weapons and printer supplies (mixed)","law legal guns printers cartridges weapons ammunition ink",0.00491,0.00415,0.04965,0.00226,0.00436,0.00263,0.00327,0.00527,0.00674,0.00569,0.00433,0.00327,0.00384,0.22865,0.00370,0.00381,0.00634,0.00318,0.00371,0.00299,0.00351,0.00273,0.00464,0.00378,0.00250,0.00289,0.00259,0.00273,0.00711,0.00320,0.00392,0.00356,0.00391,0.00711,0.00734,0.00307,0.00304,0.00414,0.00174,0.00336,0.00535,0.00310,0.00493,0.00270,0.00299,0.02802
37,"Land vehicles and parts","vehicles parts land land vehicles vehicle engines valves motors",0.01784,0.01262,0.01259,0.00385,0.02151,0.00331,0.07489,0.15869,0.02033,0.01802,0.01535,0.05201,0.41385,0.03789,0.00752,0.01782,0.00461,0.06590,0.00636,0.01649,0.01697,0.00730,0.02892,0.00749,0.00519,0.00450,0.00479,0.01725,0.01559,0.00324,0.00361,0.00390,0.00407,0.00606,0.00822,0.00845,0.00399,0.03617,0.00328,0.01762,0.02072,0.00325,0.00649,0.00312,0.00240,0.00350
38,"Medical and healthcare services","medical services healthcare therapy care treatment patient patients",0.01704,0.00800,0.00314,0.00393,0.00367,0.03227,0.00269,0.00266,0.00256,0.01147,0.12331,0.00344,0.00394,0.00505,0.00451,0.00352,0.01271,0.00379,0.00225,0.00274,0.00550,0.00287,0.00345,0.00399,0.00262,0.00306,0.00218,0.00290,0.00317,0.00324,0.00382,0.00424,0.00422,0.00595,0.00449,0.01783,0.01607,0.00675,0.00810,0.01102,0.01019,0.01412,0.02741,0.00682,0.20870,0.02568
39,"Heating and air apparatus","electric air apparatus heating installations purposes household gas",0.01039,0.01111,0.00703,0.00554,0.01364,0.00583,0.01470,0.07240,0.01413,0.00844,0.01285,0.21490,0.00832,0.00863,0.00406,0.01439,0.00335,0.01802,0.00231,0.01090,0.00910,0.01428,0.00753,0.00506,0.00406,0.00247,0.00335,0.00569,0.00344,0.00345,0.00416,0.00387,0.00444,0.00603,0.00708,0.00429,0.00305,0.03479,0.00218,0.00869,0.01146,0.00221,0.00421,0.00360,0.00289,0.00286
40,"Industrial machines and parts","machines apparatus parts machine metal industrial processing parts machines",0.01009,0.00901,0.01086,0.00317,0.01264,0.00292,0.03903,0.20479,0.01683,0.01279,0.00891,0.02474,0.01875,0.01007,0.00447,0.00552,0.00408,0.01687,0.00210,0.00895,0.00808,0.00465,0.00940,0.00952,0.00312,0.00235,0.00320,0.00396,0.00952,0.00317,0.00405,0.00387,0.00427,0.00601,0.00555,0.00407,0.00290,0.02448,0.00304,0.01735,0.03179,0.00256,0.00655,0.00316,0.00254,0.00296
41,"Repair, maintenance and rental of machines","repair maintenance machines repair maintenance apparatus rental machines apparatus industrial",0.00447,0.00440,0.00406,0.00279,0.00433,0.00293,0.00462,0.00683,0.00415,0.00359,0.00420,0.00568,0.00506,0.00615,0.00397,0.00461,0.00334,0.00422,0.00229,0.00530,0.00428,0.00285,0.00408,0.00668,0.00230,0.00253,0.00313,0.00356,0.00414,0.00342,0.00385,0.00373,0.00403,0.00622,0.00423,0.00315,0.00789,0.03242,0.00225,0.01062,0.00652,0.00356,0.00359,0.00545,0.00456,0.00612
42,"Construction, engineering and waste services","services construction waste repair relating installation field engineering",0.01445,0.01551,0.01022,0.00280,0.01194,0.00372,0.03084,0.01546,0.00420,0.00645,0.00411,0.01688,0.00817,0.00822,0.00470,0.00368,0.00737,0.01958,0.00204,0.02969,0.00688,0.00419,0.00866,0.00609,0.00300,0.00265,0.00241,0.00696,0.00277,0.00318,0.00371,0.00532,0.00416,0.00640,0.00374,0.01442,0.01785,0.21097,0.00515,0.02811,0.09021,0.00753,0.03366,0.00565,0.01097,0.01775
43,"Medical-purpose apparatus and textile yarn (mixed)","purposes medical medical purposes yarn thread thread yarn apparatus textile",0.00829,0.00506,0.00361,0.00814,0.00500,0.02849,0.00314,0.00386,0.00708,0.00492,0.13313,0.00893,0.00470,0.00715,0.00451,0.00569,0.00587,0.00858,0.00423,0.00351,0.01277,0.01165,0.02739,0.30048,0.01942,0.00560,0.01540,0.00809,0.00546,0.00474,0.00499,0.00749,0.00503,0.00860,0.00833,0.00277,0.00174,0.00239,0.00135,0.00258,0.00577,0.00208,0.00213,0.00331,0.02011,0.00508
44,"Beverages and dairy","beverages fruit drinks milk food based tea non-alcoholic",0.04146,0.01672,0.00753,0.00869,0.01139,0.02591,0.00414,0.00653,0.00683,0.00210,0.00326,0.00877,0.00358,0.00569,0.00606,0.00527,0.00604,0.00313,0.00516,0.00344,0.00616,0.01743,0.00591,0.00791,0.00566,0.00562,0.00512,0.00567,0.00415,0.34108,0.40588,0.16853,0.61366,0.62690,0.01521,0.01088,0.00210,0.00257,0.00201,0.01082,0.01853,0.00393,0.00416,0.06264,0.00527,0.00270
45,"Water treatment","water treatment filters purification units tanks water treatment pumps",0.00708,0.02701,0.00749,0.00423,0.00624,0.00580,0.00967,0.02060,0.00445,0.00513,0.00922,0.07994,0.00641,0.00670,0.00401,0.00355,0.00345,0.01263,0.00237,0.01055,0.00648,0.01452,0.00795,0.00527,0.00341,0.00284,0.00239,0.00448,0.00446,0.00372,0.00450,0.00608,0.04269,0.00772,0.00680,0.00326,0.00290,0.01105,0.00144,0.00739,0.02274,0.00268,0.00393,0.00482,0.00393,0.00393
46,"Mats, floor coverings and printing","mats printing floor coverings printing machines rugs wall floor mats",0.00611,0.00863,0.05200,0.00293,0.00411,0.00287,0.00828,0.01309,0.00414,0.00392,0.00371,0.00361,0.00418,0.00525,0.00419,0.00449,0.01003,0.02494,0.00259,0.08078,0.00917,0.00401,0.00952,0.01316,0.01365,0.00306,0.00406,0.31116,0.00444,0.00299,0.00348,0.00357,0.00388,0.00607,0.00388,0.00335,0.00206,0.00705,0.00147,0.00272,0.04692,0.00196,0.00409,0.00293,0.00205,0.00256
47,"Hand tools and knives","tools hand knives operated hand tools electric tool hand-operated",0.01087,0.00532,0.00777,0.00493,0.01006,0.00325,0.04122,0.11403,0.42220,0.01317,0.01730,0.01513,0.01427,0.02862,0.00750,0.01198,0.00497,0.01431,0.00661,0.00834,0.01379,0.01925,0.03248,0.01065,0.00456,0.00410,0.00822,0.00664,0.00959,0.00313,0.00377,0.00409,0.00405,0.00602,0.00790,0.00368,0.00193,0.00763,0.00156,0.00349,0.00774,0.00241,0.00285,0.00284,0.00366,0.00400
48,"Veterinary and medical preparations","preparations veterinary medical materials apparatus substances animals purposes",0.00499,0.02914,0.00777,0.00995,0.00707,0.03208,0.00282,0.00311,0.00340,0.00266,0.00982,0.00398,0.00355,0.00553,0.00472,0.00436,0.00279,0.00397,0.00349,0.00353,0.00364,0.00421,0.00529,0.00698,0.00312,0.00264,0.00259,0.00388,0.00319,0.00454,0.00474,0.01063,0.00552,0.00760,0.00529,0.00250,0.00191,0.00339,0.00195,0.00295,0.00476,0.00234,0.00280,0.00305,0.01003,0.00217
49,"Dental, industrial gases and fundraising (mixed)","dental carbon fundraising families gases hydrogen fundraising services gas",0.00553,0.01103,0.00427,0.00521,0.01203,0.00984,0.00382,0.00594,0.00285,0.00323,0.03080,0.00668,0.00372,0.00568,0.00405,0.00482,0.00354,0.00482,0.00176,0.00484,0.00351,0.00635,0.00349,0.00430,0.00224,0.00263,0.00216,0.00318,0.00308,0.00324,0.00389,0.00437,0.00429,0.00668,0.00411,0.00419,0.02025,0.00418,0.00153,0.00325,0.01043,0.00389,0.00382,0.00332,0.01366,0.00450
